Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,16.59,7,5,3,5,0,6,0,1,1,4
2,AgentA wins,14.05,6,4,2,5,0,5,0,1,1,4
3,AgentA wins,14.01,6,4,2,5,0,5,0,1,1,4
4,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
5,AgentA wins,13.67,6,4,3,5,0,5,0,1,1,4
6,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,18.13,8,4,1,5,0,7,0,1,0,0
9,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
10,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
11,AgentA wins,13.93,6,4,3,5,0,5,0,1,1,4
12,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
13,AgentA wins,19.06,8,5,4,5,0,7,0,2,2,5
14,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
15,AgentA wins,14.01,6,4,2,5,0,5,0,1,1,4
16,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
17,AgentA wins,13.91,6,4,2,5,0,5,0,1,1,4
18,AgentA wins,13.47,6,3,3,5,0,5,0,1,2,3
19,AgentA wins,13.89,6,4,2,5,0,5,0,1,1,4
20,AgentA wins,16.44,7,4,3,5,0,6,0,1,2,4
21,AgentA wins,14.34,6,3,3,5,0,5,0,1,1,3
22,AgentA wins,13.89,6,4,3,5,0,5,0,1,1,4
23,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
24,AgentA wins,13.89,6,4,3,5,0,5,0,1,1,4
25,AgentA wins,14.01,6,4,3,5,0,5,0,1,1,4
26,AgentA wins,13.66,6,4,3,5,0,5,0,1,0,4
27,AgentA wins,13.84,6,4,2,5,0,5,0,1,1,4
28,AgentA wins,13.43,6,3,3,5,0,5,0,1,1,3
29,AgentA wins,16.43,7,5,3,5,0,6,0,1,1,5
30,AgentA wins,13.67,6,4,3,5,0,5,0,1,1,4
31,AgentA wins,16.62,7,5,3,5,0,6,0,1,1,5
32,AgentA wins,13.84,6,4,3,5,0,5,0,1,1,4
33,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
34,AgentA wins,13.82,6,4,3,5,0,5,0,1,3,2
35,AgentA wins,13.45,6,3,3,5,0,5,0,1,1,3
36,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
37,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,14.28,6,4,3,5,0,5,0,1,1,4
39,AgentA wins,16.62,7,5,3,5,0,6,0,1,1,5
40,AgentA wins,13.83,6,3,3,5,0,5,0,1,1,3
41,AgentA wins,14.57,6,5,2,5,0,5,0,1,1,4
42,AgentA wins,13.44,6,4,3,5,0,5,0,1,1,4
43,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,15.50,7,2,0,5,0,6,0,1,0,0
45,AgentA wins,13.86,6,4,2,5,0,5,0,1,1,4
46,AgentA wins,15.56,7,1,1,5,0,6,0,1,0,0
47,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,3
48,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,3
49,AgentA wins,14.26,6,4,3,5,0,5,0,1,1,4
50,AgentA wins,13.98,6,4,2,5,0,5,0,1,1,4
51,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,3
52,AgentA wins,14.29,6,3,2,5,0,5,0,1,2,2
53,AgentA wins,13.93,6,4,3,5,0,5,0,1,1,4
54,AgentA wins,14.01,6,4,3,5,0,5,0,1,1,4
55,AgentA wins,14.34,6,4,3,5,0,5,0,1,1,4
56,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
57,AgentA wins,13.23,6,3,3,5,0,5,0,1,1,3
58,AgentA wins,15.93,7,4,3,5,0,6,0,1,2,4
59,AgentA wins,16.46,7,4,3,5,0,6,0,1,2,4
60,AgentA wins,16.65,7,5,3,5,0,6,0,1,0,5
61,AgentA wins,19.09,8,6,4,5,0,7,0,1,1,6
62,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
63,AgentA wins,13.09,6,2,0,5,0,5,0,1,0,0
64,AgentA wins,16.30,7,5,3,5,0,6,0,1,3,1
65,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
66,AgentA wins,13.66,6,3,2,5,0,5,0,1,1,3
