Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,14.05,6,4,3,5,0,5,0,1,1,4
2,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
3,AgentA wins,19.36,8,6,4,5,0,7,0,1,2,5
4,AgentA wins,14.17,6,4,3,5,0,5,0,1,1,4
5,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
6,AgentA wins,13.25,6,4,2,5,0,5,0,1,1,4
7,AgentA wins,16.66,7,4,3,5,0,6,0,1,1,4
8,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
9,AgentA wins,14.21,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,13.08,6,3,0,5,0,5,0,1,0,0
11,AgentA wins,18.92,8,6,4,5,0,7,0,1,1,5
12,AgentA wins,14.12,6,4,2,5,0,5,0,1,1,4
13,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
14,AgentA wins,16.45,7,5,3,5,0,6,0,1,1,5
15,AgentA wins,13.07,6,3,3,5,0,5,0,1,2,3
16,AgentA wins,16.44,7,5,3,5,0,6,0,1,1,5
17,AgentA wins,14.34,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,19.28,8,6,4,5,0,7,0,1,1,6
19,AgentA wins,14.15,6,4,3,5,0,5,0,1,1,3
20,AgentA wins,13.94,6,4,3,5,0,5,0,1,1,4
21,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,3
22,AgentA wins,16.67,7,5,3,5,0,6,0,1,2,4
23,AgentA wins,16.75,7,4,3,5,0,6,0,1,2,2
24,AgentA wins,13.78,6,4,3,5,0,5,0,1,3,2
25,AgentA wins,13.05,6,1,0,5,0,5,0,1,0,0
26,AgentA wins,14.40,6,4,3,5,0,5,0,1,1,4
27,AgentA wins,13.40,6,3,3,5,0,5,0,1,1,3
28,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,15.87,7,5,4,5,0,6,0,1,1,5
30,AgentA wins,13.49,6,3,3,5,0,5,0,1,2,3
31,AgentA wins,16.45,7,5,3,5,0,6,0,1,1,5
32,AgentA wins,13.86,6,4,3,5,0,5,0,1,3,2
33,AgentA wins,16.84,7,5,3,5,0,6,0,1,1,5
34,AgentA wins,16.42,7,5,3,5,0,6,0,1,1,5
35,AgentA wins,14.23,6,4,3,5,0,5,0,1,1,4
36,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
37,AgentA wins,16.52,7,4,3,5,0,6,0,1,2,4
38,AgentA wins,16.63,7,5,3,5,0,6,0,1,1,5
39,AgentA wins,13.00,6,2,1,5,0,5,0,1,0,0
40,AgentA wins,13.97,6,4,2,5,0,5,0,1,1,4
41,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
42,AgentA wins,14.03,6,4,2,5,0,5,0,1,1,4
43,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,16.41,7,5,3,5,0,6,0,1,1,5
45,AgentA wins,16.43,7,5,3,5,0,6,0,1,1,5
46,AgentA wins,14.32,6,4,3,5,0,5,0,1,1,4
