Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,21.48,9,6,4,5,0,8,0,1,3,4
2,AgentA wins,14.06,6,4,2,5,0,5,0,1,1,4
3,AgentA wins,13.95,6,4,2,5,0,5,0,1,1,4
4,AgentA wins,13.52,6,4,3,5,0,5,0,1,0,4
5,AgentA wins,16.68,7,5,3,5,0,6,0,1,1,5
6,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,14.15,6,4,3,5,0,5,0,1,2,3
8,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
9,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,14.38,6,4,3,5,0,5,0,1,2,3
11,AgentA wins,14.20,6,4,3,5,0,5,0,1,1,4
12,AgentA wins,13.03,6,0,1,5,0,5,0,1,0,0
13,AgentA wins,16.64,7,5,3,5,0,6,0,1,2,4
14,AgentA wins,13.46,6,4,3,5,0,5,0,1,1,4
15,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
16,AgentA wins,16.63,7,5,3,5,0,6,0,1,1,5
17,AgentA wins,16.47,7,5,3,5,0,6,0,1,1,5
18,AgentA wins,16.38,7,4,3,5,0,6,0,1,2,4
19,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
20,AgentA wins,14.34,6,4,3,5,0,5,0,1,1,4
21,AgentA wins,14.04,6,4,2,5,0,5,0,1,1,4
22,AgentA wins,13.62,6,4,3,5,0,5,0,1,1,4
23,AgentA wins,19.02,8,6,4,5,0,7,0,1,0,6
24,AgentA wins,19.71,8,5,4,5,0,7,0,2,2,4
25,AgentA wins,13.45,6,4,3,5,0,5,0,1,1,4
26,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
27,AgentA wins,16.68,7,5,3,5,0,6,0,1,1,5
28,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
30,AgentA wins,14.10,6,4,3,5,0,5,0,1,3,2
31,AgentA wins,13.02,6,3,0,5,0,5,0,1,0,0
32,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
33,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
34,AgentA wins,16.65,7,5,3,5,0,6,0,1,1,5
35,AgentA wins,16.54,7,5,3,5,0,6,0,1,1,5
36,AgentA wins,16.85,7,5,3,5,0,6,0,1,1,5
37,AgentA wins,14.21,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,13.15,6,2,0,5,0,5,0,1,0,0
39,AgentA wins,13.91,6,4,3,5,0,5,0,1,1,4
40,AgentA wins,14.05,6,4,3,5,0,5,0,1,1,4
41,AgentA wins,14.25,6,4,3,5,0,5,0,1,1,4
42,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
43,AgentA wins,13.88,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,13.53,6,3,3,5,0,5,0,1,1,3
45,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
46,AgentA wins,13.93,6,3,3,5,0,5,0,1,1,3
47,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
48,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
49,AgentA wins,14.27,6,4,3,5,0,5,0,1,1,4
50,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
51,AgentA wins,16.46,7,5,3,5,0,6,0,1,1,5
52,AgentA wins,16.46,7,4,3,5,0,6,0,1,2,4
53,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
54,AgentA wins,18.99,8,6,4,5,0,7,0,1,1,6
55,AgentA wins,16.48,7,5,3,5,0,6,0,1,1,5
56,AgentA wins,16.54,7,5,3,5,0,6,0,1,1,5
57,AgentA wins,16.59,7,5,3,5,0,6,0,1,1,5
58,AgentA wins,13.95,6,4,2,5,0,5,0,1,1,4
59,AgentA wins,13.46,6,4,3,5,0,5,0,1,1,4
60,AgentA wins,14.15,6,4,3,5,0,5,0,1,1,4
61,AgentB wins,12.82,5,4,3,4,0,5,0,1,5,0
62,AgentA wins,13.71,6,4,3,5,0,5,0,1,1,4
63,AgentA wins,13.92,6,4,2,5,0,5,0,1,1,4
64,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
65,AgentA wins,13.89,6,4,2,5,0,5,0,1,1,4
66,AgentA wins,14.22,6,4,2,5,0,5,0,1,1,4
67,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
68,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
69,AgentA wins,16.40,7,5,3,5,0,6,0,1,1,5
70,AgentA wins,13.04,6,2,0,5,0,5,0,1,0,0
71,AgentA wins,13.10,6,2,0,5,0,5,0,1,0,0
72,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
73,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
74,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
75,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
76,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
