Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,17.01,7,5,3,5,0,6,0,1,2,4
2,AgentA wins,13.50,6,4,3,5,0,5,0,1,1,4
3,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
4,AgentA wins,14.20,6,3,2,5,0,5,0,1,2,2
5,AgentA wins,13.47,6,3,3,5,0,5,0,1,2,3
6,AgentA wins,16.68,7,5,3,5,0,6,0,1,1,5
7,AgentA wins,13.03,6,2,0,5,0,5,0,1,0,0
8,AgentA wins,13.92,6,4,2,5,0,5,0,1,1,4
9,AgentA wins,16.61,7,4,3,5,0,6,0,1,1,4
10,AgentA wins,14.05,6,4,2,5,0,5,0,1,1,4
11,AgentA wins,16.14,7,5,3,5,0,6,0,1,1,5
12,AgentA wins,13.38,6,4,3,5,0,5,0,1,1,4
13,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
14,AgentA wins,13.55,6,4,3,5,0,5,0,1,1,4
15,AgentA wins,16.50,7,5,3,5,0,6,0,1,1,5
16,AgentA wins,14.04,6,4,2,5,0,5,0,1,1,4
17,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,14.10,6,4,2,5,0,5,0,1,1,4
19,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
20,AgentA wins,16.46,7,5,3,5,0,6,0,1,1,5
21,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
22,AgentA wins,13.09,6,1,0,5,0,5,0,1,0,0
23,AgentA wins,13.95,6,3,2,5,0,5,0,1,2,3
24,AgentA wins,14.04,6,3,2,5,0,5,0,1,1,3
25,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
26,AgentA wins,16.71,7,5,3,5,0,6,0,1,3,3
27,AgentA wins,16.52,7,5,3,5,0,6,0,1,1,5
28,AgentA wins,13.47,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,14.03,6,3,3,5,0,5,0,1,1,3
30,AgentA wins,16.84,7,5,3,5,0,6,0,1,1,5
31,AgentA wins,14.07,6,4,3,5,0,5,0,1,1,4
32,AgentA wins,13.56,6,3,3,5,0,5,0,1,3,1
33,AgentA wins,14.30,6,4,3,5,0,5,0,1,1,4
34,AgentA wins,15.93,7,4,3,5,0,6,0,1,1,4
35,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
36,AgentA wins,13.88,6,4,2,5,0,5,0,1,1,4
37,AgentA wins,13.47,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,13.67,6,4,2,5,0,5,0,1,1,4
39,AgentA wins,13.08,6,3,0,5,0,5,0,1,0,0
40,AgentA wins,14.46,6,4,3,5,0,5,0,1,1,4
41,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
42,AgentA wins,13.91,6,4,2,5,0,5,0,1,1,4
43,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
45,AgentA wins,13.97,6,4,2,5,0,5,0,1,1,4
46,AgentA wins,13.87,6,4,2,5,0,5,0,1,1,4
47,AgentA wins,16.50,7,4,3,5,0,6,0,1,2,4
48,AgentA wins,16.02,7,5,4,5,0,6,0,1,1,5
49,AgentA wins,16.46,7,5,3,5,0,6,0,1,1,5
50,AgentA wins,13.94,6,4,3,5,0,5,0,1,1,4
51,AgentA wins,13.47,6,4,3,5,0,5,0,1,1,4
52,AgentA wins,13.77,6,4,2,5,0,5,0,1,1,4
53,AgentA wins,13.90,6,3,3,5,0,5,0,1,1,3
54,AgentA wins,13.94,6,4,3,5,0,5,0,1,1,4
55,AgentA wins,13.41,6,4,3,5,0,5,0,1,1,4
56,AgentA wins,14.05,6,4,3,5,0,5,0,1,1,4
57,AgentA wins,13.51,6,4,3,5,0,5,0,1,1,4
58,AgentA wins,14.15,6,4,3,5,0,5,0,1,1,4
59,AgentA wins,16.74,7,5,3,5,0,6,0,1,1,5
60,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
61,AgentA wins,13.07,6,1,0,5,0,5,0,1,0,0
62,AgentB wins,13.07,5,4,3,4,0,5,0,1,5,0
63,AgentA wins,13.51,6,4,3,5,0,5,0,1,1,4
64,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
65,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
66,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
67,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
68,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
69,AgentA wins,16.62,7,5,3,5,0,6,0,1,1,5
70,AgentA wins,14.30,6,4,3,5,0,5,0,1,1,4
71,AgentA wins,14.38,6,4,3,5,0,5,0,1,1,4
72,AgentA wins,14.36,6,4,3,5,0,5,0,1,1,4
73,AgentA wins,13.08,6,3,0,5,0,5,0,1,0,0
74,AgentA wins,16.64,7,5,3,5,0,6,0,1,1,5
75,AgentA wins,14.01,6,4,3,5,0,5,0,1,1,4
76,AgentA wins,13.85,6,3,3,5,0,5,0,1,1,3
77,AgentA wins,14.05,6,4,2,5,0,5,0,1,1,4
78,AgentA wins,14.15,6,4,3,5,0,5,0,1,1,4
79,AgentA wins,13.95,6,4,2,5,0,5,0,1,1,4
80,AgentA wins,14.46,6,4,3,5,0,5,0,1,1,4
81,AgentA wins,13.96,6,4,3,5,0,5,0,1,1,4
82,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,4
83,AgentA wins,16.36,7,4,3,5,0,6,0,1,2,3
84,AgentA wins,18.95,8,5,4,5,0,7,0,1,2,5
85,AgentA wins,13.89,6,4,3,5,0,5,0,1,1,4
86,AgentA wins,16.83,7,5,3,5,0,6,0,1,3,3
87,AgentA wins,16.52,7,5,3,5,0,6,0,1,1,5
88,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
89,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
90,AgentA wins,14.08,6,4,3,5,0,5,0,1,1,4
91,AgentA wins,16.49,7,5,3,5,0,6,0,1,1,5
92,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
93,AgentA wins,13.86,6,3,2,5,0,5,0,1,1,3
94,AgentA wins,13.07,6,3,1,5,0,5,0,1,0,0
95,AgentA wins,16.37,7,5,4,5,0,6,0,1,2,4
96,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
97,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
98,AgentA wins,13.88,6,4,3,5,0,5,0,1,1,4
99,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
100,AgentA wins,13.91,6,3,2,5,0,5,0,1,2,3
101,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
102,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
103,AgentA wins,13.36,6,3,3,5,0,5,0,1,2,3
104,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
105,AgentA wins,14.19,6,4,3,5,0,5,0,1,1,4
106,AgentA wins,16.58,7,5,3,5,0,6,0,1,1,5
107,AgentA wins,13.58,6,4,3,5,0,5,0,1,1,4
108,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
109,AgentA wins,16.16,7,3,3,5,0,6,0,1,3,3
110,AgentA wins,13.03,6,2,0,5,0,5,0,1,0,0
111,AgentA wins,16.72,7,5,3,5,0,6,0,1,1,5
112,AgentA wins,19.02,8,6,4,5,0,7,0,1,1,6
113,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
