Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
2,AgentA wins,16.58,7,4,3,5,0,6,0,1,2,4
3,AgentA wins,14.17,6,4,3,5,0,5,0,1,1,4
4,AgentA wins,16.64,7,5,3,5,0,6,0,1,1,5
5,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
6,AgentA wins,13.88,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,13.07,6,3,0,5,0,5,0,1,0,0
8,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,3
9,AgentA wins,14.20,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,13.13,6,3,0,5,0,5,0,1,0,0
11,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
12,AgentA wins,16.37,7,5,3,5,0,6,0,1,1,5
13,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
14,AgentA wins,13.95,6,4,2,5,0,5,0,1,1,4
15,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
16,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
17,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,13.40,6,3,3,5,0,5,0,1,1,3
19,AgentA wins,14.32,6,4,3,5,0,5,0,1,1,4
20,AgentA wins,13.53,6,3,3,5,0,5,0,1,2,2
21,AgentA wins,14.42,6,5,2,5,0,5,0,1,0,4
22,AgentA wins,15.61,7,4,3,5,0,5,0,1,1,4
23,AgentA wins,18.92,8,5,4,5,0,7,0,1,2,5
24,AgentA wins,16.74,7,5,3,5,0,6,0,1,1,5
25,AgentA wins,13.92,6,4,3,5,0,5,0,1,1,4
26,AgentA wins,16.49,7,5,3,5,0,6,0,1,1,5
27,AgentA wins,13.38,6,4,3,5,0,5,0,1,1,4
28,AgentA wins,19.02,8,6,4,5,0,7,0,1,0,6
29,AgentA wins,14.04,6,4,2,5,0,5,0,1,1,4
30,AgentA wins,16.64,7,5,3,5,0,6,0,1,1,5
31,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
32,AgentA wins,13.03,6,2,0,5,0,5,0,1,0,0
33,AgentA wins,16.87,7,5,3,5,0,6,0,1,1,5
34,AgentA wins,16.46,7,5,3,5,0,6,0,1,1,5
35,AgentA wins,16.45,7,5,3,5,0,6,0,1,1,5
36,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
37,AgentA wins,13.02,6,2,1,5,0,5,0,1,0,0
38,AgentA wins,13.34,6,3,3,5,0,5,0,1,2,3
39,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
40,AgentA wins,18.97,8,6,4,5,0,7,0,1,1,6
41,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
42,AgentA wins,16.42,7,5,3,5,0,6,0,1,1,5
43,AgentA wins,14.20,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
45,AgentA wins,13.00,6,2,0,5,0,5,0,1,0,0
46,AgentA wins,14.08,6,4,3,5,0,5,0,1,1,4
47,AgentA wins,16.46,7,4,3,5,0,6,0,1,2,4
48,AgentA wins,14.05,6,4,3,5,0,5,0,1,1,4
49,AgentA wins,13.02,6,2,0,5,0,5,0,1,0,0
50,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
51,AgentA wins,14.39,6,4,3,5,0,5,0,1,1,4
52,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
53,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
54,AgentA wins,13.94,6,4,3,5,0,5,0,1,1,4
55,AgentA wins,14.25,6,4,2,5,0,5,0,1,1,4
56,AgentA wins,16.65,7,5,3,5,0,6,0,1,1,5
57,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
58,AgentA wins,14.09,6,4,3,5,0,5,0,1,1,4
59,AgentA wins,19.20,8,6,4,5,0,7,0,1,1,5
60,AgentA wins,19.01,8,6,3,5,0,7,0,1,1,6
61,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
62,AgentA wins,13.40,6,3,3,5,0,5,0,1,2,3
63,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
64,AgentA wins,13.96,6,4,3,5,0,5,0,1,1,4
65,AgentA wins,14.07,6,4,3,5,0,5,0,1,1,4
66,AgentA wins,14.30,6,4,3,5,0,5,0,1,1,4
67,AgentA wins,13.03,6,1,1,5,0,5,0,1,0,0
68,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
69,AgentA wins,14.07,6,4,3,5,0,5,0,1,0,4
70,AgentA wins,13.43,6,3,3,5,0,5,0,1,1,3
71,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
72,AgentA wins,14.38,6,4,3,5,0,5,0,1,1,4
73,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
74,AgentA wins,13.00,6,1,0,5,0,5,0,1,0,0
75,AgentA wins,16.39,7,4,3,5,0,6,0,1,2,4
76,AgentA wins,16.48,7,5,2,5,0,6,0,1,1,5
77,AgentA wins,13.97,6,4,3,5,0,5,0,1,0,4
78,AgentA wins,13.93,6,5,2,5,0,5,0,1,0,5
79,AgentA wins,16.47,7,5,3,5,0,6,0,1,1,5
80,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,3
81,AgentA wins,16.10,7,4,4,5,0,6,0,1,2,4
82,AgentA wins,13.08,6,2,0,5,0,5,0,1,0,0
83,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
84,AgentA wins,13.81,6,4,3,5,0,5,0,1,1,4
