Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,16.63,7,6,3,5,0,6,0,1,0,3
2,AgentA wins,19.60,8,7,3,5,0,7,0,1,0,5
3,AgentA wins,16.49,7,6,3,5,0,6,0,1,0,4
4,AgentA wins,19.57,8,7,4,5,0,7,0,1,0,3
5,AgentA wins,21.73,9,8,4,5,0,8,0,1,0,5
6,AgentA wins,19.46,8,7,4,5,0,7,0,1,0,2
7,AgentA wins,16.74,7,6,3,5,0,6,0,1,0,3
8,AgentA wins,14.77,6,5,3,5,0,5,0,1,0,2
9,AgentA wins,27.39,11,9,5,5,0,9,0,2,0,5
10,AgentA wins,19.51,8,7,4,5,0,7,0,1,0,4
11,AgentA wins,16.35,7,6,3,5,0,6,0,1,0,5
12,AgentA wins,16.40,7,6,3,5,0,6,0,1,0,6
13,AgentA wins,22.39,9,8,4,5,0,8,0,2,1,4
14,AgentA wins,39.70,16,9,5,5,0,15,0,1,0,2
15,AgentA wins,14.46,6,5,3,5,0,5,0,1,0,4
16,AgentA wins,21.74,9,8,4,5,0,8,0,1,0,5
17,AgentA wins,19.76,8,7,4,5,0,7,0,1,0,4
18,AgentA wins,21.64,9,8,4,5,0,8,0,1,0,4
