Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,14.10,6,3,2,5,0,5,0,1,0,3
2,AgentA wins,13.53,6,4,3,5,0,5,0,1,1,4
3,AgentA wins,16.60,7,5,3,5,0,6,0,1,1,5
4,AgentA wins,16.10,7,4,3,5,0,6,0,1,1,4
5,AgentA wins,13.94,6,4,3,5,0,5,0,1,3,2
6,AgentA wins,13.92,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,13.91,6,4,2,5,0,5,0,1,1,4
9,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,13.03,6,3,0,5,0,5,0,1,0,0
11,AgentA wins,14.15,6,4,3,5,0,5,0,1,1,4
12,AgentA wins,14.30,6,4,3,5,0,5,0,1,1,4
13,AgentA wins,16.45,7,4,3,5,0,6,0,1,2,4
14,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,4
15,AgentA wins,16.42,7,5,3,5,0,6,0,1,1,5
16,AgentA wins,13.66,6,4,3,5,0,5,0,1,1,4
17,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,16.58,7,4,3,5,0,6,0,1,1,4
19,AgentA wins,16.44,7,5,2,5,0,6,0,1,1,5
20,AgentA wins,17.23,7,6,2,5,0,6,0,1,0,6
21,AgentA wins,16.44,7,5,3,5,0,6,0,1,1,5
22,AgentA wins,13.83,6,4,3,5,0,5,0,1,1,3
23,AgentA wins,14.38,6,4,3,5,0,5,0,1,1,4
24,AgentA wins,13.38,6,3,3,5,0,5,0,1,1,3
25,AgentA wins,16.74,7,5,3,5,0,6,0,1,1,3
26,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
27,AgentA wins,14.09,6,4,2,5,0,5,0,1,1,4
28,AgentA wins,24.03,10,7,5,5,0,9,0,1,4,4
29,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
30,AgentA wins,16.52,7,5,3,5,0,6,0,1,1,5
31,AgentA wins,13.92,6,4,3,5,0,5,0,1,1,4
32,AgentA wins,14.08,6,4,3,5,0,5,0,1,1,4
33,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
34,AgentA wins,13.93,6,4,3,5,0,5,0,1,1,4
35,AgentA wins,14.07,6,4,2,5,0,5,0,1,1,4
36,AgentA wins,14.05,6,4,2,5,0,5,0,1,1,4
37,AgentA wins,16.61,7,5,3,5,0,6,0,1,1,5
38,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
39,AgentA wins,13.91,6,4,3,5,0,5,0,1,1,4
40,AgentA wins,13.49,6,4,3,5,0,5,0,1,1,4
41,AgentA wins,13.97,6,4,2,5,0,5,0,1,1,4
42,AgentA wins,16.67,7,5,3,5,0,6,0,1,1,5
43,AgentA wins,13.59,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,13.82,6,4,3,5,0,5,0,1,1,4
45,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
46,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
47,AgentA wins,13.41,6,4,3,5,0,5,0,1,1,4
48,AgentA wins,14.12,6,4,2,5,0,5,0,1,1,4
49,AgentA wins,16.41,7,5,3,5,0,6,0,1,1,5
50,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
51,AgentA wins,16.49,7,4,3,5,0,6,0,1,1,4
52,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,3
53,AgentA wins,17.12,7,5,3,5,0,6,0,1,2,3
54,AgentA wins,16.79,7,5,3,5,0,6,0,1,1,4
55,AgentB wins,13.06,5,4,3,4,0,5,0,1,5,0
56,AgentA wins,13.40,6,4,3,5,0,5,0,1,1,3
57,AgentA wins,13.45,6,4,3,5,0,5,0,1,1,4
58,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
59,AgentA wins,14.02,6,4,2,5,0,5,0,1,1,4
60,AgentA wins,13.34,6,3,3,5,0,5,0,1,1,3
61,AgentA wins,14.01,6,4,1,5,0,5,0,1,1,4
62,AgentA wins,13.82,6,4,3,5,0,5,0,1,1,4
63,AgentA wins,16.42,7,5,3,5,0,6,0,1,1,4
64,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
65,AgentA wins,16.50,7,5,2,5,0,6,0,1,1,5
66,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
67,AgentA wins,13.94,6,4,2,5,0,5,0,1,1,4
68,AgentA wins,14.06,6,4,2,5,0,5,0,1,1,4
69,AgentA wins,15.95,7,4,3,5,0,5,0,1,1,4
70,AgentA wins,14.35,6,4,3,5,0,5,0,1,1,3
71,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
72,AgentA wins,16.54,7,4,3,5,0,6,0,1,2,4
73,AgentA wins,16.57,7,5,3,5,0,6,0,1,1,5
74,AgentA wins,13.87,6,4,2,5,0,5,0,1,1,4
75,AgentA wins,16.79,7,5,3,5,0,6,0,1,1,5
76,AgentA wins,13.46,6,3,3,5,0,5,0,1,2,3
77,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
78,AgentA wins,13.99,6,4,2,5,0,5,0,1,1,4
79,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
80,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
81,AgentA wins,19.18,8,6,3,5,0,7,0,1,1,6
