Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,13.67,6,0,0,5,0,5,0,1,1,0
2,AgentA wins,16.24,7,0,1,5,0,6,0,1,3,0
3,AgentA wins,16.10,7,0,2,5,0,6,0,1,1,0
4,AgentA wins,13.70,6,0,1,5,0,5,0,1,0,0
5,AgentA wins,13.76,6,1,1,5,0,5,0,1,3,0
6,AgentA wins,19.01,8,0,1,5,0,6,0,2,1,0
7,AgentA wins,16.00,7,0,1,5,0,6,0,1,1,0
8,AgentA wins,18.62,8,0,2,5,0,7,0,1,4,0
9,AgentA wins,16.48,7,0,1,5,0,6,0,1,1,0
10,AgentA wins,13.46,6,0,0,5,0,5,0,1,0,0
11,AgentA wins,13.14,6,0,0,5,0,5,0,1,0,0
12,AgentA wins,13.40,6,0,0,5,0,5,0,1,0,0
13,AgentA wins,15.69,7,0,2,5,0,5,0,1,1,0
14,AgentA wins,13.15,6,0,0,5,0,3,0,1,0,0
15,AgentA wins,13.20,6,0,0,5,0,5,0,1,0,0
16,AgentA wins,13.78,6,0,2,5,0,5,0,1,1,0
17,AgentA wins,13.45,6,0,1,5,0,4,0,1,0,0
18,AgentA wins,16.02,7,0,1,5,0,6,0,1,1,0
19,AgentA wins,13.36,6,0,0,5,0,5,0,1,0,0
20,AgentA wins,13.97,6,0,1,5,0,4,0,1,1,0
21,AgentA wins,13.81,6,0,0,5,0,5,0,1,1,0
22,AgentA wins,16.60,7,1,2,5,0,6,0,1,4,0
23,AgentA wins,13.73,6,1,1,5,0,5,0,1,2,0
24,AgentA wins,13.36,6,0,0,5,0,4,0,1,0,0
25,AgentA wins,13.55,6,0,1,5,0,3,0,1,0,0
26,AgentA wins,18.71,8,0,1,5,0,7,0,1,2,0
27,AgentB wins,15.15,6,0,2,4,0,5,0,1,5,0
28,AgentA wins,14.04,6,0,0,5,0,5,0,1,0,0
29,AgentA wins,13.38,6,0,0,5,0,5,0,1,0,0
30,AgentA wins,20.94,9,0,2,5,0,7,0,2,4,0
31,AgentA wins,13.33,6,0,0,5,0,5,0,1,0,0
32,AgentA wins,13.18,6,0,0,5,0,5,0,1,0,0
33,AgentA wins,15.85,7,0,1,5,0,4,0,1,0,0
34,AgentA wins,13.10,6,0,1,5,0,4,0,1,2,0
35,AgentA wins,13.37,6,0,0,5,0,5,0,1,0,0
36,AgentA wins,13.52,6,0,1,5,0,4,0,1,1,0
37,AgentA wins,13.65,6,0,0,5,0,5,0,1,0,0
