Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.33,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,20.67,180,198,0,110,0,124,0,19,34,56
2,AgentA wins,18.00,154,168,0,115,0,124,0,24,31,55
3,AgentA wins,18.00,157,167,0,114,0,122,0,22,27,57
4,AgentA wins,18.00,156,167,0,105,0,119,0,21,34,59
5,AgentB wins,18.67,170,174,0,113,0,121,0,22,32,62
6,AgentA wins,18.00,167,154,0,106,0,101,0,21,27,63
7,AgentA wins,22.67,199,202,0,138,0,150,0,24,47,65
8,AgentA wins,24.00,206,218,0,160,0,167,0,25,29,87
9,AgentA wins,18.00,154,168,0,116,0,120,0,24,25,50
10,AgentA wins,18.00,154,169,0,112,0,120,0,22,29,44
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
4,AgentB wins,21.33,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,31.33,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
10,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
1,AgentA wins,17.67,0,0,0,0,0,0,0,0,0,0
2,AgentA wins,20.00,0,0,0,0,0,0,0,0,0,0
3,AgentA wins,27.67,0,0,0,0,0,0,0,0,0,0
4,AgentA wins,23.00,0,0,0,0,0,0,0,0,0,0
5,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
6,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
7,AgentA wins,23.00,0,0,0,0,0,0,0,0,0,0
8,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
9,AgentA wins,18.00,0,0,0,0,0,0,0,0,0,0
