Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,13.93,6,4,3,5,0,5,0,1,1,4
2,AgentA wins,14.03,6,4,2,5,0,5,0,1,1,4
3,AgentA wins,16.32,7,3,3,5,0,6,0,1,3,3
4,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
5,AgentA wins,16.65,7,5,3,5,0,6,0,1,1,4
6,AgentA wins,14.09,6,4,3,5,0,5,0,1,0,3
7,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,14.07,6,4,3,5,0,5,0,1,0,4
9,AgentA wins,13.09,6,2,0,5,0,5,0,1,0,0
10,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,3
11,AgentA wins,13.90,6,4,2,5,0,5,0,1,1,4
12,AgentA wins,16.57,7,5,3,5,0,6,0,1,1,5
13,AgentA wins,18.99,8,6,3,5,0,7,0,1,1,6
14,AgentA wins,16.52,7,5,3,5,0,6,0,1,1,5
15,AgentA wins,13.86,6,3,2,5,0,5,0,1,2,3
16,AgentA wins,14.40,6,4,3,5,0,5,0,1,2,3
17,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,14.12,6,4,3,5,0,5,0,1,1,4
19,AgentA wins,14.07,6,4,3,5,0,5,0,1,1,3
20,AgentA wins,15.62,7,4,3,5,0,5,0,1,1,4
21,AgentA wins,15.54,7,2,1,5,0,6,0,1,0,0
22,AgentA wins,14.16,6,4,3,5,0,5,0,1,1,4
23,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
24,AgentA wins,16.45,7,5,3,5,0,6,0,1,1,5
25,AgentA wins,13.99,6,4,3,5,0,5,0,1,0,4
26,AgentA wins,16.68,7,5,3,5,0,6,0,1,1,5
27,AgentA wins,13.92,6,4,3,5,0,5,0,1,1,4
28,AgentA wins,13.44,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
30,AgentA wins,16.63,7,5,3,5,0,6,0,1,1,5
31,AgentA wins,19.13,8,6,3,5,0,7,0,1,1,6
32,AgentA wins,13.63,6,4,3,5,0,5,0,1,3,2
33,AgentA wins,16.55,7,5,3,5,0,6,0,1,1,5
34,AgentA wins,13.43,6,4,3,5,0,5,0,1,1,4
35,AgentA wins,13.89,6,4,3,5,0,5,0,1,1,4
36,AgentA wins,14.01,6,4,3,5,0,5,0,1,1,4
37,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,16.80,7,5,3,5,0,6,0,1,1,5
39,AgentA wins,16.71,7,5,3,5,0,6,0,1,2,4
40,AgentA wins,14.29,6,4,3,5,0,5,0,1,1,4
41,AgentA wins,16.48,7,4,3,5,0,6,0,1,2,3
42,AgentA wins,14.36,6,4,2,5,0,5,0,1,4,1
43,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
44,AgentA wins,14.11,6,4,3,5,0,5,0,1,1,4
45,AgentB wins,12.78,5,4,3,4,0,5,0,1,5,0
46,AgentA wins,14.43,6,5,3,5,0,5,0,1,1,4
47,AgentA wins,16.48,7,5,3,5,0,6,0,1,1,5
48,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
49,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
50,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
51,AgentA wins,19.67,8,7,3,5,0,7,0,1,2,5
52,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
53,AgentA wins,16.44,7,5,3,5,0,6,0,1,1,5
54,AgentA wins,16.58,7,5,3,5,0,6,0,1,1,5
55,AgentA wins,14.00,6,4,3,5,0,5,0,1,0,4
56,AgentA wins,13.88,6,4,2,5,0,5,0,1,1,4
57,AgentA wins,20.53,9,3,2,5,0,8,0,1,0,0
58,AgentA wins,14.02,6,4,3,5,0,5,0,1,0,4
59,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
60,AgentA wins,13.70,6,4,3,5,0,5,0,1,1,4
61,AgentA wins,13.87,6,4,3,5,0,5,0,1,1,4
62,AgentA wins,15.66,7,4,3,5,0,5,0,1,1,4
63,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
64,AgentA wins,15.98,7,4,3,5,0,5,0,1,1,4
65,AgentA wins,13.94,6,4,2,5,0,5,0,1,1,4
66,AgentA wins,13.53,6,4,3,5,0,5,0,1,4,0
67,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
68,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
69,AgentA wins,13.88,6,3,2,5,0,5,0,1,1,3
70,AgentA wins,14.17,6,4,3,5,0,5,0,1,0,3
71,AgentA wins,16.48,7,5,2,5,0,6,0,1,1,4
72,AgentA wins,13.99,6,4,3,5,0,5,0,1,0,4
73,AgentA wins,15.63,7,3,0,5,0,6,0,1,0,0
74,AgentA wins,13.95,6,4,3,5,0,5,0,1,1,4
75,AgentB wins,12.85,5,4,3,4,0,5,0,1,5,0
76,AgentA wins,13.47,6,4,3,5,0,5,0,1,1,4
77,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
78,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
79,AgentA wins,16.72,7,5,3,5,0,6,0,1,1,5
80,AgentA wins,13.91,6,4,2,5,0,5,0,1,1,4
81,AgentA wins,19.18,8,5,4,5,0,7,0,1,2,5
82,AgentA wins,16.52,7,4,3,5,0,6,0,1,2,4
83,AgentA wins,16.08,7,5,4,5,0,6,0,1,2,4
84,AgentA wins,16.49,7,5,3,5,0,6,0,1,1,5
85,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
86,AgentA wins,19.16,8,6,3,5,0,7,0,2,2,5
87,AgentA wins,16.43,7,5,3,5,0,6,0,1,1,5
88,AgentA wins,14.04,6,4,3,5,0,5,0,1,1,4
89,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,4
90,AgentA wins,16.60,7,5,3,5,0,6,0,1,1,5
91,AgentA wins,14.19,6,4,3,5,0,5,0,1,2,3
