Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,39.94,9,12,1,5,2,15,15,8,0,2
2,AgentA wins,21.12,5,5,1,5,0,8,8,4,0,2
3,AgentA wins,48.26,12,15,4,5,6,18,18,9,0,2
4,timeout draw,60.00,17,19,4,4,12,23,22,11,0,6
5,AgentA wins,26.68,7,6,1,5,1,10,10,5,0,2
6,AgentA wins,21.30,6,6,0,5,0,8,8,4,0,1
7,AgentA wins,45.08,9,15,5,5,2,17,17,8,0,3
8,timeout draw,60.00,16,18,5,4,12,22,23,11,0,5
9,AgentA wins,31.08,10,9,1,5,3,12,11,6,0,2
10,AgentA wins,35.44,9,9,1,5,4,14,13,6,0,2
11,AgentA wins,40.77,9,12,3,5,4,15,15,8,0,2
