Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,16.47,7,4,3,5,0,6,0,1,2,2
2,AgentA wins,15.57,7,4,3,5,0,5,0,1,1,4
3,AgentA wins,16.49,7,5,3,5,0,6,0,1,1,5
4,AgentA wins,13.94,6,4,3,5,0,5,0,1,0,4
5,AgentA wins,14.24,6,4,3,5,0,5,0,1,1,4
6,AgentA wins,14.06,6,4,3,5,0,5,0,1,1,4
7,AgentA wins,13.62,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
9,AgentA wins,18.04,8,2,1,5,0,7,0,1,0,0
10,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
11,AgentA wins,19.34,8,5,4,5,0,7,0,2,3,4
12,AgentA wins,20.61,9,1,1,5,0,8,0,1,0,0
13,AgentA wins,16.50,7,5,3,5,0,6,0,1,1,5
14,AgentA wins,16.41,7,4,3,5,0,6,0,1,2,4
15,AgentA wins,13.92,6,4,2,5,0,5,0,1,1,4
16,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
17,AgentA wins,13.40,6,3,3,5,0,5,0,1,1,3
18,AgentA wins,18.07,8,2,1,5,0,7,0,1,0,0
19,AgentA wins,16.57,7,5,3,5,0,6,0,1,1,5
20,AgentA wins,14.31,6,4,3,5,0,5,0,1,1,4
21,AgentA wins,14.22,6,4,3,5,0,5,0,1,1,4
22,AgentA wins,13.58,6,3,3,5,0,5,0,1,2,3
23,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
24,AgentA wins,14.14,6,4,3,5,0,5,0,1,1,4
25,AgentA wins,16.07,7,5,4,5,0,6,0,1,1,5
26,AgentA wins,13.01,6,3,0,5,0,5,0,1,0,0
27,AgentA wins,19.06,8,5,4,5,0,7,0,1,2,5
28,AgentA wins,14.17,6,4,3,5,0,5,0,1,1,4
29,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
30,AgentA wins,16.60,7,5,3,5,0,6,0,1,1,5
31,AgentA wins,14.12,6,4,3,5,0,5,0,1,0,4
32,AgentA wins,16.53,7,5,3,5,0,6,0,1,1,5
33,AgentA wins,13.95,6,4,2,5,0,5,0,1,1,4
34,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
35,AgentA wins,16.52,7,5,3,5,0,6,0,1,1,5
36,AgentA wins,14.14,6,4,3,5,0,5,0,1,3,2
37,AgentA wins,13.32,6,3,3,5,0,5,0,1,0,3
38,AgentA wins,19.47,8,6,4,5,0,7,0,1,1,5
39,AgentA wins,14.17,6,4,3,5,0,5,0,1,1,4
