Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,timeout draw,60.33,0,0,1,0,0,2,0,0,1,0
2,timeout draw,60.00,0,0,1,0,0,2,0,0,1,0
3,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
4,timeout draw,60.00,0,0,1,0,0,0,0,0,0,0
5,timeout draw,60.00,0,0,2,0,0,1,0,0,1,0
6,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
7,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
8,timeout draw,60.00,0,0,1,0,0,2,0,0,1,0
9,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
10,timeout draw,60.00,0,0,0,0,0,1,0,0,0,0
11,timeout draw,60.00,0,0,1,0,0,2,0,0,2,0
12,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
13,timeout draw,60.00,0,0,0,0,0,2,0,0,1,0
14,timeout draw,60.00,0,0,1,0,0,1,0,0,0,0
15,timeout draw,60.00,0,0,0,0,0,2,0,0,1,0
16,timeout draw,60.00,0,0,1,0,0,2,0,0,1,0
17,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
18,timeout draw,60.00,0,0,0,0,0,2,0,0,0,0
19,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
20,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
21,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
22,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
23,timeout draw,60.00,0,0,0,0,0,2,0,0,1,0
24,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
25,timeout draw,60.00,0,0,0,0,0,2,0,0,1,0
26,timeout draw,60.00,0,0,1,0,0,2,0,0,1,0
27,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
28,timeout draw,60.00,0,0,1,0,0,1,0,0,0,0
29,timeout draw,60.00,0,0,0,0,0,1,0,0,0,0
30,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
31,timeout draw,60.00,0,0,2,0,0,1,0,0,1,0
32,timeout draw,60.00,0,0,0,0,0,2,0,0,1,0
33,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
34,timeout draw,60.00,0,0,1,0,0,1,0,0,1,0
35,timeout draw,60.00,0,0,2,0,0,2,0,0,1,0
36,timeout draw,60.00,0,0,1,0,0,2,0,0,1,0
37,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
38,timeout draw,60.00,0,0,0,0,0,1,0,0,0,0
39,timeout draw,60.00,0,0,0,0,0,1,0,0,0,0
40,timeout draw,60.00,0,0,0,0,0,1,0,0,1,0
