Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentB wins,23.67,6,7,4,0,0,7,0,0,5,2
2,AgentB wins,18.33,6,4,4,0,0,6,0,0,5,1
3,AgentB wins,24.00,6,7,4,1,0,6,0,0,5,1
4,AgentB wins,28.67,8,8,5,1,0,6,0,0,5,0
5,AgentB wins,22.00,6,7,4,0,0,6,0,0,5,1
6,AgentB wins,22.67,8,7,3,1,0,5,0,0,5,0
7,AgentB wins,18.33,6,5,3,0,0,6,0,0,5,1
8,AgentB wins,15.33,4,5,3,0,0,5,0,0,5,0
9,AgentB wins,35.33,9,11,5,1,0,11,0,0,5,4
10,timeout draw,60.33,16,19,9,4,0,10,0,1,1,7
11,AgentB wins,30.00,8,9,5,1,0,10,0,0,5,4
12,AgentB wins,23.33,6,7,4,0,0,7,0,0,5,2
13,AgentB wins,35.67,10,11,4,3,0,11,0,0,5,2
14,AgentB wins,33.67,8,11,5,3,0,7,0,0,5,1
15,AgentB wins,41.33,12,11,6,2,0,13,0,0,5,4
16,AgentB wins,28.00,7,9,5,1,0,8,0,0,5,2
17,AgentA wins,23.00,7,7,2,5,0,4,0,1,0,3
18,AgentB wins,37.00,11,10,5,4,0,8,0,1,5,2
19,AgentB wins,34.00,9,10,5,1,0,11,0,0,5,5
20,timeout draw,60.00,18,17,7,3,0,4,0,0,0,3
21,timeout draw,60.00,17,19,8,4,0,8,0,4,2,5
22,AgentB wins,26.67,7,9,4,1,0,7,0,0,5,1
23,timeout draw,60.00,17,17,8,2,0,7,0,0,3,2
24,AgentB wins,56.67,16,18,7,4,0,12,0,4,5,4
25,AgentB wins,41.00,10,12,6,0,0,13,0,0,5,5
26,AgentB wins,19.33,6,7,2,1,0,6,0,0,5,0
27,AgentB wins,33.00,8,11,6,3,0,11,0,0,5,1
28,AgentB wins,23.67,6,8,2,0,0,8,0,0,5,3
29,AgentB wins,35.67,9,11,6,0,0,11,0,0,5,3
30,AgentB wins,20.67,6,7,3,0,0,7,0,0,5,2
31,timeout draw,60.00,15,19,9,1,0,3,0,0,2,1
32,AgentB wins,23.67,7,7,4,0,0,7,0,0,5,1
33,AgentB wins,19.00,5,6,3,1,0,6,0,0,5,0
