Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,30.00,9,8,4,5,0,7,0,3,4,3
2,AgentA wins,18.67,5,5,3,5,0,6,0,1,1,1
3,AgentB wins,30.33,8,10,5,4,0,7,0,1,5,1
4,AgentA wins,27.67,9,7,4,5,0,8,0,1,4,0
5,AgentA wins,32.33,10,10,4,5,0,9,0,3,4,0
6,AgentA wins,31.67,10,8,5,5,0,7,0,4,4,1
7,AgentA wins,40.67,11,12,6,5,0,9,0,4,2,7
8,AgentA wins,24.33,8,6,4,5,0,8,0,1,3,0
9,AgentB wins,24.00,8,7,4,1,0,5,0,0,5,0
10,AgentA wins,21.67,7,6,3,5,0,6,0,1,2,2
11,AgentA wins,18.33,6,5,2,5,0,3,0,1,0,2
12,AgentA wins,18.00,6,5,1,5,0,5,0,1,2,1
13,timeout draw,60.00,17,17,10,4,0,7,0,8,4,0
14,AgentA wins,22.67,8,6,3,5,0,6,0,1,3,1
15,timeout draw,60.00,20,14,9,1,0,2,0,0,1,0
16,timeout draw,60.00,19,16,8,0,0,2,0,0,2,0
17,timeout draw,60.00,20,14,9,1,0,4,0,0,4,0
18,AgentA wins,24.00,9,4,4,5,0,6,0,1,3,0
19,AgentA wins,44.67,15,12,5,5,0,9,0,2,4,1
20,timeout draw,60.00,17,17,7,4,0,8,0,1,3,3
21,AgentA wins,33.67,11,8,5,5,0,8,0,2,3,2
22,AgentB wins,19.33,7,4,3,1,0,6,0,0,5,0
23,AgentA wins,29.67,9,7,4,5,0,7,0,3,1,5
24,AgentA wins,32.00,10,7,4,5,0,7,0,3,2,3
25,AgentA wins,23.00,8,6,3,5,0,8,0,1,3,1
26,timeout draw,60.00,20,16,5,0,0,3,0,0,3,0
27,timeout draw,60.00,19,15,7,0,0,3,0,0,3,0
28,AgentA wins,17.67,6,4,1,5,0,4,0,1,1,2
29,AgentA wins,22.67,8,4,3,5,0,6,0,2,2,0
30,timeout draw,60.00,20,13,6,2,0,4,0,0,2,0
31,AgentB wins,24.00,8,6,3,3,0,8,0,0,5,2
32,AgentA wins,23.67,9,3,3,5,0,6,0,1,2,1
33,AgentB wins,42.00,14,7,6,4,0,11,0,5,5,1
34,AgentA wins,22.33,8,2,4,5,0,7,0,1,1,0
35,AgentA wins,28.67,9,6,4,5,0,7,0,3,1,2
36,AgentA wins,26.33,9,6,3,5,0,9,0,1,4,1
37,AgentA wins,24.67,8,6,2,5,0,8,0,1,3,1
38,AgentB wins,18.33,7,4,2,1,0,6,0,0,5,0
39,AgentA wins,25.67,9,4,4,5,0,7,0,2,3,1
40,timeout draw,60.00,21,11,8,3,0,7,0,0,4,2
41,timeout draw,60.00,21,6,5,2,0,3,0,0,1,1
42,AgentA wins,31.33,11,4,5,5,0,8,0,3,4,2
43,AgentA wins,37.33,13,5,5,5,0,8,0,4,3,3
44,AgentA wins,25.00,9,4,2,5,0,6,0,2,1,2
45,AgentA wins,26.33,10,3,3,5,0,7,0,2,3,0
46,AgentA wins,28.33,10,5,3,5,0,6,0,1,0,2
47,timeout draw,60.00,21,7,5,2,0,3,0,0,2,0
48,AgentA wins,25.67,9,5,1,5,0,8,0,1,3,1
49,AgentA wins,34.33,12,4,3,5,0,9,0,4,3,2
50,timeout draw,60.00,21,11,6,0,0,4,0,0,4,0
51,AgentA wins,18.67,7,3,1,5,0,5,0,1,1,1
52,AgentA wins,23.00,9,3,1,5,0,6,0,1,0,3
53,AgentA wins,24.00,9,2,2,5,0,5,0,2,1,1
54,timeout draw,60.00,23,4,3,1,0,2,0,0,0,0
55,AgentA wins,17.00,7,1,2,5,0,5,0,1,3,0
56,AgentA wins,26.67,10,3,1,5,0,6,0,2,1,2
57,AgentA wins,25.33,10,2,2,5,0,7,0,2,1,2
58,AgentA wins,19.67,7,3,1,5,0,5,0,1,1,2
59,timeout draw,60.00,22,8,2,1,0,1,0,0,0,0
60,AgentA wins,39.67,15,5,4,5,0,9,0,1,4,0
61,AgentA wins,15.00,6,2,0,5,0,4,0,1,1,0
62,timeout draw,60.00,23,4,2,3,0,4,0,0,0,1
63,AgentB wins,28.67,10,6,1,3,0,9,0,0,5,1
64,AgentA wins,25.00,10,3,1,5,0,7,0,1,4,0
65,timeout draw,60.00,23,3,2,2,0,3,0,0,0,2
66,AgentA wins,20.00,8,2,1,5,0,6,0,1,2,1
67,AgentA wins,14.33,6,1,1,5,0,3,0,1,0,1
68,AgentA wins,33.00,11,8,1,5,0,9,0,4,4,2
69,AgentB wins,44.33,14,8,5,4,0,11,0,2,5,2
70,AgentA wins,26.00,9,5,2,5,0,7,0,2,3,2
71,AgentA wins,27.00,11,2,5,5,0,8,0,1,4,1
72,timeout draw,60.00,21,11,4,2,0,3,0,0,0,1
73,AgentB wins,16.33,7,2,1,0,0,5,0,0,5,0
74,AgentA wins,23.67,9,3,2,5,0,6,0,2,0,3
75,timeout draw,60.00,22,8,4,1,0,5,0,0,2,1
76,AgentA wins,26.00,9,5,2,5,0,9,0,1,3,1
77,AgentA wins,21.33,8,2,2,5,0,5,0,2,1,1
78,AgentA wins,23.67,9,3,1,5,0,6,0,1,2,1
79,AgentA wins,18.00,7,3,1,5,0,5,0,1,1,2
80,AgentA wins,17.67,7,1,1,5,0,5,0,1,1,0
81,AgentA wins,21.00,8,4,0,5,0,5,0,2,0,3
82,AgentA wins,21.67,8,3,2,5,0,6,0,2,0,3
83,AgentB wins,16.33,7,1,1,0,0,5,0,0,5,0
84,AgentA wins,29.67,11,3,3,5,0,8,0,2,2,1
85,timeout draw,60.00,22,6,4,3,0,5,0,0,3,0
86,AgentA wins,25.33,10,2,1,5,0,7,0,2,2,1
87,AgentA wins,22.67,9,2,0,5,0,7,0,1,1,2
88,AgentA wins,18.00,7,2,0,5,0,6,0,1,2,1
89,AgentA wins,25.67,10,2,3,5,0,6,0,1,3,2
90,AgentA wins,32.33,11,5,2,5,0,6,0,3,0,3
91,AgentA wins,30.00,11,3,2,5,0,7,0,3,1,2
92,AgentA wins,17.33,7,1,0,5,0,6,0,1,1,0
93,timeout draw,60.00,23,5,5,4,0,3,0,10,0,2
94,AgentB wins,23.00,9,4,1,3,0,7,0,0,5,1
95,AgentB wins,37.67,14,5,4,4,0,11,0,2,5,1
96,AgentB wins,30.67,12,3,2,4,0,7,0,4,5,2
97,AgentB wins,25.00,10,3,1,1,0,7,0,0,5,0
98,timeout draw,60.00,23,1,2,4,0,4,0,10,1,0
99,AgentA wins,25.00,10,2,2,5,0,7,0,1,3,0
100,AgentA wins,26.33,10,2,2,5,0,8,0,1,3,1
101,AgentA wins,55.00,21,5,1,5,0,5,0,1,2,1
102,AgentA wins,39.67,15,5,1,5,0,9,0,5,4,3
103,timeout draw,60.00,23,0,0,2,0,3,0,0,1,0
104,timeout draw,60.00,24,0,2,2,0,3,0,0,2,0
105,timeout draw,60.00,23,5,2,3,0,3,0,0,3,0
106,timeout draw,60.00,23,0,0,1,0,1,0,0,1,0
107,AgentA wins,23.67,10,1,1,5,0,7,0,1,3,0
108,timeout draw,60.00,24,0,2,2,0,2,0,0,1,0
109,AgentA wins,29.33,12,3,1,5,0,8,0,2,3,1
110,AgentA wins,21.33,8,2,0,5,0,6,0,2,1,2
111,AgentA wins,14.67,6,1,2,5,0,4,0,1,1,1
112,timeout draw,60.00,24,2,2,2,0,9,0,0,4,0
113,AgentA wins,28.67,11,3,2,5,0,8,0,2,3,2
114,AgentA wins,32.67,12,3,2,5,0,9,0,2,3,1
115,AgentA wins,17.00,7,1,0,5,0,4,0,1,0,1
116,AgentA wins,19.67,8,1,0,5,0,6,0,1,3,1
117,AgentA wins,41.00,16,3,3,5,0,9,0,4,4,1
118,timeout draw,60.00,24,1,1,1,0,1,0,0,0,0
119,AgentB wins,16.67,7,1,1,1,0,5,0,0,5,0
120,AgentB wins,31.33,13,2,0,3,0,6,0,0,5,0
121,timeout draw,60.00,24,0,0,1,0,2,0,0,1,0
122,timeout draw,60.00,23,2,2,2,0,3,0,0,2,0
123,timeout draw,60.00,24,0,0,1,0,1,0,0,0,0
124,AgentB wins,23.67,9,2,2,3,0,8,0,0,5,2
125,AgentB wins,22.00,9,1,1,3,0,7,0,0,5,1
126,AgentA wins,29.33,12,2,1,5,0,8,0,2,4,1
127,AgentA wins,31.33,12,4,0,5,0,9,0,3,3,2
128,AgentA wins,30.33,12,1,1,5,0,7,0,3,2,0
129,AgentA wins,23.67,10,2,1,5,0,7,0,1,3,0
130,AgentA wins,21.67,9,1,0,5,0,6,0,2,1,1
131,AgentB wins,16.33,7,1,0,0,0,5,0,0,5,0
132,timeout draw,60.00,23,1,0,2,0,2,0,0,2,0
133,timeout draw,60.00,24,2,0,1,0,5,0,0,2,1
134,AgentA wins,26.33,11,0,1,5,0,7,0,1,3,0
135,AgentA wins,29.67,12,2,0,5,0,8,0,3,4,0
136,AgentA wins,30.00,12,0,1,5,0,5,0,3,1,0
137,timeout draw,60.00,24,2,0,1,0,3,0,0,2,0
138,AgentB wins,18.67,8,0,1,1,0,6,0,0,5,0
139,AgentB wins,16.00,7,0,1,1,0,5,0,0,5,0
140,AgentA wins,30.33,12,1,0,5,0,7,0,3,3,0
141,AgentA wins,19.00,8,0,1,5,0,5,0,2,3,0
142,timeout draw,60.00,23,0,1,1,0,2,0,0,1,0
143,AgentA wins,26.67,11,1,0,5,0,7,0,2,3,0
144,timeout draw,60.00,23,2,0,2,0,3,0,0,2,0
145,AgentA wins,21.33,9,0,0,5,0,6,0,1,3,0
146,AgentA wins,21.33,9,1,0,5,0,6,0,1,0,1
147,timeout draw,60.00,23,0,0,1,0,1,0,0,0,0
148,AgentA wins,27.00,11,0,0,5,0,6,0,2,4,0
149,AgentA wins,29.00,12,0,1,5,0,9,0,1,4,0
150,timeout draw,60.00,24,0,2,3,0,6,0,0,4,0
151,AgentB wins,16.33,7,0,0,0,0,5,0,0,5,0
152,timeout draw,60.00,24,0,1,1,0,3,0,0,2,0
153,AgentB wins,32.67,13,2,1,4,0,10,0,1,5,0
154,AgentA wins,24.00,9,2,1,5,0,7,0,1,3,2
155,timeout draw,60.00,24,0,1,2,0,2,0,0,0,0
156,AgentA wins,29.00,12,0,0,5,0,8,0,1,3,0
157,AgentA wins,26.33,11,0,1,5,0,8,0,1,1,0
158,AgentA wins,27.33,11,0,1,5,0,6,0,3,1,0
159,AgentB wins,38.33,15,2,1,4,0,11,0,2,5,1
160,AgentB wins,29.67,12,1,0,4,0,9,0,1,5,0
161,AgentB wins,21.33,9,0,0,3,0,6,0,0,5,0
162,AgentA wins,43.33,17,1,1,5,0,11,0,4,4,0
163,timeout draw,60.00,24,0,0,1,0,1,0,0,0,0
164,AgentA wins,34.00,14,0,1,5,0,9,0,2,1,0
