Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,17.27,7,4,3,5,0,7,0,1,1,2
2,AgentA wins,13.93,6,3,2,5,0,5,0,1,1,3
3,AgentA wins,13.51,6,4,3,5,0,5,0,1,1,4
4,AgentA wins,15.56,7,2,0,5,0,6,0,1,0,0
5,AgentA wins,13.94,6,4,3,5,0,5,0,1,0,4
6,AgentA wins,13.39,6,3,3,5,0,5,0,1,2,3
7,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
9,AgentA wins,14.00,6,4,2,5,0,5,0,1,1,4
10,AgentA wins,16.56,7,5,3,5,0,6,0,1,1,5
11,AgentA wins,14.29,6,4,3,5,0,5,0,1,1,3
12,AgentA wins,16.55,7,5,3,5,0,6,0,1,1,5
13,AgentA wins,16.45,7,5,3,5,0,6,0,1,1,5
14,AgentA wins,13.13,6,1,0,5,0,5,0,1,0,0
15,AgentA wins,13.90,6,4,3,5,0,5,0,1,1,4
16,AgentA wins,13.36,6,3,3,5,0,5,0,1,2,3
17,AgentA wins,14.41,6,5,3,5,0,5,0,1,1,4
18,AgentA wins,14.00,6,4,3,5,0,5,0,1,1,4
19,AgentA wins,23.11,10,2,3,5,0,9,0,1,0,0
20,AgentA wins,13.94,6,4,2,5,0,5,0,1,1,4
21,AgentA wins,13.55,6,3,3,5,0,5,0,1,2,3
22,AgentA wins,18.01,8,2,3,5,0,7,0,2,0,0
23,AgentA wins,13.84,6,4,2,5,0,5,0,1,1,4
24,AgentA wins,15.52,7,4,3,5,0,5,0,1,1,4
25,AgentA wins,16.47,7,4,3,5,0,6,0,1,2,4
26,AgentA wins,13.59,6,4,3,5,0,5,0,1,1,4
27,AgentA wins,14.26,6,4,3,5,0,5,0,1,1,4
28,AgentA wins,16.70,7,5,3,5,0,6,0,1,1,5
29,AgentA wins,14.05,6,4,3,5,0,5,0,1,1,4
30,AgentA wins,13.96,6,4,2,5,0,5,0,1,1,4
31,AgentA wins,13.93,6,4,3,5,0,5,0,1,1,3
32,AgentA wins,14.06,6,4,2,5,0,5,0,1,1,4
33,AgentA wins,14.07,6,4,3,5,0,5,0,1,1,4
34,AgentA wins,13.89,6,4,3,5,0,5,0,1,0,4
35,AgentA wins,14.16,6,4,2,5,0,5,0,1,1,4
36,AgentA wins,16.85,7,5,3,5,0,6,0,1,1,5
37,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
38,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
39,AgentA wins,13.37,6,4,3,5,0,5,0,1,1,4
40,AgentA wins,13.42,6,3,3,5,0,5,0,1,0,3
41,AgentA wins,13.97,6,4,3,5,0,5,0,1,1,4
42,AgentA wins,14.03,6,4,3,5,0,5,0,1,1,4
43,AgentA wins,13.95,6,3,3,5,0,5,0,1,1,3
44,AgentA wins,13.04,6,2,0,5,0,5,0,1,0,0
45,AgentA wins,13.54,6,3,3,5,0,5,0,1,0,3
46,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
47,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
48,AgentA wins,13.88,6,4,3,5,0,5,0,1,1,4
