Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,14.15,6,4,3,5,0,5,0,1,0,4
2,AgentA wins,13.74,6,4,3,5,0,5,0,1,1,4
3,AgentA wins,13.34,6,2,2,5,0,5,0,1,0,1
4,AgentA wins,14.21,6,4,3,5,0,5,0,1,1,4
5,AgentA wins,14.06,6,4,3,5,0,5,0,1,0,4
6,AgentA wins,16.54,7,5,3,5,0,6,0,1,1,5
7,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
8,AgentA wins,13.10,6,3,0,5,0,5,0,1,0,0
9,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
10,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
11,AgentA wins,13.09,6,0,1,5,0,5,0,1,0,0
12,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
13,AgentA wins,13.97,6,4,2,5,0,5,0,1,1,4
14,AgentA wins,14.07,6,4,3,5,0,5,0,1,1,3
15,AgentA wins,13.45,6,4,3,5,0,5,0,1,1,4
16,AgentA wins,13.08,6,2,0,5,0,5,0,1,0,0
17,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
18,AgentA wins,14.08,6,4,2,5,0,5,0,1,1,4
19,AgentA wins,16.45,7,4,3,5,0,6,0,1,2,4
20,AgentA wins,19.03,8,6,4,5,0,7,0,1,1,6
21,AgentA wins,13.03,6,2,0,5,0,5,0,1,0,0
22,AgentA wins,13.99,6,4,3,5,0,5,0,1,1,4
23,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
24,AgentA wins,16.69,7,5,3,5,0,6,0,1,1,5
25,AgentA wins,14.11,6,4,2,5,0,5,0,1,1,4
26,AgentA wins,14.21,6,4,3,5,0,5,0,1,1,4
27,AgentA wins,13.98,6,4,2,5,0,5,0,1,1,4
28,AgentA wins,16.54,7,5,3,5,0,6,0,1,1,5
29,AgentA wins,14.06,6,4,2,5,0,5,0,1,1,4
30,AgentA wins,14.34,6,4,3,5,0,5,0,1,1,4
31,AgentA wins,13.90,6,4,2,5,0,5,0,1,1,4
32,AgentA wins,13.86,6,4,2,5,0,5,0,1,1,4
33,AgentA wins,16.55,7,5,3,5,0,6,0,1,1,5
34,AgentA wins,13.98,6,4,3,5,0,5,0,1,1,4
35,AgentA wins,13.99,6,4,2,5,0,5,0,1,1,4
36,AgentA wins,16.76,7,5,3,5,0,6,0,1,1,5
37,AgentA wins,13.09,6,2,0,5,0,5,0,1,0,0
38,AgentA wins,13.36,6,4,3,5,0,5,0,1,1,4
39,AgentA wins,14.02,6,4,3,5,0,5,0,1,1,4
40,AgentA wins,14.26,6,4,3,5,0,5,0,1,1,4
41,AgentA wins,15.99,7,4,3,5,0,6,0,1,2,3
42,AgentA wins,13.10,6,2,0,5,0,5,0,1,0,0
43,AgentA wins,18.96,8,5,4,5,0,7,0,1,2,5
44,AgentA wins,13.41,6,4,3,5,0,5,0,1,1,4
45,AgentA wins,13.08,6,2,1,5,0,5,0,1,0,0
46,AgentA wins,14.01,6,4,2,5,0,5,0,1,1,3
47,AgentA wins,14.06,6,4,2,5,0,5,0,1,1,4
48,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,4
49,AgentA wins,13.05,6,2,0,5,0,5,0,1,0,0
50,AgentA wins,14.22,6,3,1,5,0,5,0,1,1,1
51,AgentA wins,16.54,7,5,3,5,0,6,0,1,1,5
52,AgentA wins,14.13,6,4,3,5,0,5,0,1,1,4
53,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
54,AgentA wins,16.55,7,5,3,5,0,6,0,1,1,4
55,AgentA wins,14.18,6,4,3,5,0,5,0,1,1,4
56,AgentA wins,14.10,6,4,3,5,0,5,0,1,1,3
57,AgentA wins,13.83,6,4,2,5,0,5,0,1,1,4
58,AgentA wins,13.93,6,4,2,5,0,5,0,1,1,4
59,AgentA wins,13.65,6,4,3,5,0,5,0,1,1,4
