Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentA wins,18.37,7,6,3,5,0,7,0,1,1,5
2,AgentA wins,20.93,8,6,3,5,0,8,0,1,0,3
3,AgentA wins,20.50,8,6,2,5,0,8,0,1,0,3
4,AgentA wins,25.95,10,9,4,5,0,10,0,1,3,4
5,AgentA wins,20.70,8,6,2,5,0,8,0,1,0,4
6,AgentA wins,20.79,8,7,3,5,0,8,0,1,1,5
7,AgentA wins,23.22,9,8,3,5,0,9,0,1,1,4
8,AgentA wins,23.24,9,7,2,5,0,9,0,1,1,3
9,AgentA wins,23.04,9,6,2,5,0,9,0,1,0,3
10,AgentA wins,18.25,7,5,2,5,0,7,0,1,0,4
11,AgentA wins,20.86,8,7,3,5,0,8,0,1,1,5
12,AgentA wins,15.73,6,4,2,5,0,6,0,1,0,4
13,AgentA wins,20.79,8,7,2,5,0,8,0,1,1,5
14,AgentA wins,38.35,15,11,5,5,0,15,0,1,2,3
15,AgentA wins,18.05,7,5,2,5,0,7,0,1,0,3
16,AgentA wins,15.79,6,5,2,5,0,6,0,1,0,3
