Episode,Result,Duration,A_Attack,A_Block,A_Dodge,A_Hit,A_Blocked,B_Attack,B_Block,B_Dodge,B_Hit,B_Blocked
1,AgentB wins,18.33,5,6,3,1,0,6,0,0,5,1
2,AgentB wins,23.00,8,6,3,1,0,6,0,0,5,0
3,AgentB wins,38.33,10,10,7,1,0,12,0,0,5,4
4,AgentB wins,15.67,4,5,3,0,0,5,0,0,5,0
5,AgentB wins,51.33,13,15,8,3,0,13,0,0,5,5
6,AgentA wins,44.33,13,12,7,5,0,11,0,4,4,1
7,AgentB wins,15.33,4,5,3,0,0,5,0,0,5,0
8,AgentB wins,23.67,5,8,4,0,0,6,0,0,5,0
9,AgentB wins,18.00,5,5,4,0,0,6,0,0,5,1
10,timeout draw,60.00,17,16,9,3,0,6,0,0,2,4
11,AgentB wins,50.33,14,14,9,4,0,10,0,5,5,5
12,AgentB wins,27.00,7,9,5,1,0,8,0,0,5,1
13,AgentB wins,27.00,8,8,4,1,0,9,0,0,5,1
14,AgentB wins,27.67,8,9,4,1,0,8,0,0,5,1
15,AgentB wins,23.67,8,6,4,0,0,8,0,0,5,2
16,AgentB wins,23.33,7,7,3,0,0,7,0,0,5,1
17,AgentB wins,31.33,8,9,5,1,0,9,0,0,5,2
18,AgentB wins,29.00,9,8,4,0,0,10,0,0,5,3
19,AgentB wins,19.00,5,6,2,0,0,6,0,0,5,1
20,AgentB wins,21.33,6,6,4,1,0,7,0,0,5,0
21,AgentB wins,23.00,8,7,3,1,0,7,0,0,5,0
22,AgentB wins,19.00,5,6,3,0,0,6,0,0,5,1
23,AgentB wins,23.00,8,6,3,2,0,7,0,0,5,0
24,AgentB wins,26.00,7,8,4,0,0,8,0,0,5,2
25,AgentB wins,23.00,6,8,4,0,0,6,0,0,5,0
26,AgentB wins,26.33,8,8,4,0,0,8,0,0,5,2
27,AgentB wins,21.00,6,6,4,1,0,7,0,0,5,1
28,AgentB wins,21.67,8,6,3,0,0,7,0,0,5,1
29,AgentB wins,30.67,9,9,6,1,0,10,0,0,5,2
